exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
binance,Binance,1,33.599770552158127896000000000000000000,12905902918.3653641976496755,927,True,https://www.binance.com/,1750494038398
mexc,MEXC,2,6.502598040617508394000000000000000000,2497692622.6054856346931588,648,True,https://curve.fi/,1750494024938
bybit,BYBIT,3,6.491173526153840868000000000000000000,2493304388.0391610839086872,273,True,https://curve.fi/,1750494038404
bitget,BITGET,4,5.957684991741630066000000000000000000,2288387773.4302325666777882,377,True,https://curve.fi/,1750494025903
okx,OKX,5,5.724416255683289528000000000000000000,2198787647.8345722570455069,544,True,https://curve.fi/,1750494018131
gate,Gate,6,4.645898892478910877000000000000000000,1784521712.1883816905967193,847,False,https://gate.io/,1750494038141
gdax,Coinbase Pro,7,4.062578619042829453000000000000000000,1560464383.9517499937989561,251,True,https://pro.coinbase.com/,1750494038297
huobi,Huobi,8,3.939844783400092473000000000000000000,1513321473.7004764560900948,219,True,https://www.hbg.com/,1750494017427
lbank,LBank,9,3.939425874704992425000000000000000000,1513160567.9900571601801930,194,False,https://www.lbank.info,1750494035393
digifinex,DigiFinex,10,3.567702322152603702000000000000000000,1370378995.2925949883711329,166,False,https://www.digifinex.com/,1750494033880
bitmax,AscendEX (Bitmax),11,2.581698028514003684000000000000000000,991647965.8340072872487800,177,False,https://www.bitmax.io/,1750494028442
kraken,Kraken,12,2.494033330633188655000000000000000000,957975352.5504930987020508,420,False,https://kraken.com,1750494037749
bitmart,BITMART,13,2.407975579359937342000000000000000000,924919978.5091344434422523,406,True,https://curve.fi/,1750494032639
crypto,Crypto.com Exchange,14,2.164935617347469315000000000000000000,831566657.8325249432956039,165,False,https://api.crypto.com/,1750493997653
whitebit,WhiteBIT,15,1.930984866401438092000000000000000000,741704565.6286179445743965,280,False,https://whitebit.com,1750494037460
kucoin,Kucoin,16,1.876254866475051910000000000000000000,720682396.3053004954122235,400,False,https://www.kucoin.io/,1750494014625
bigone,BigONE,17,1.018709719718981020000000000000000000,391293408.5153714872216620,80,False,https://big.one/,1750494012436
hyperliquid,HYPERLIQUID,18,0.838646975557725223000000000000000000,322130070.2791119007585795,21,True,https://curve.fi/,1750494008920
probit,ProBit,19,0.749070240974347348000000000000000000,287723030.5499968051661914,201,False,https://www.probit.com/en-us/,1750494024616
Uniswap V3,Uniswap V3,20,0.731587249342742754000000000000000000,281007693.2422665766675084,69,True,empty_uri,1750493974877
bitfinex,Bitfinex,21,0.537898160375694753000000000000000000,206610382.2643559090050561,135,True,https://bitfinex.com,1750493986606
bitstamp,Bitstamp,22,0.486417760030319833000000000000000000,186836406.4860208182565090,119,True,https://www.bitstamp.net/,1750494038314
hitbtc,HitBTC,23,0.464002337000781315000000000000000000,178226488.3604122477650000,214,True,https://hitbtc.com/,1750494017423
Aerodrome SlipStream,Aerodrome SlipStream,24,0.410985035700786940000000000000000000,157862178.3568874041542918,5,True,empty_uri,1750493999326
Uniswap V3 (BSC),Uniswap V3 (BSC),25,0.403613466878685103000000000000000000,155030708.0816243323490072,17,True,empty_uri,1750494036014
pionex,PIONEX,26,0.387363831622061963000000000000000000,148789111.4387164500114100,263,True,https://curve.fi/,1750494014661
dex-trade,Dex-Trade,27,0.325915727362990522000000000000000000,125186472.0440783292746864,85,False,https://dex-trade.com/,1750494030684
gemini,Gemini,28,0.233825860290107245000000000000000000,89814120.8441542960517323,54,True,https://gemini.com/,1750494027387
raydium-101,RAYDIUM (Solana),29,0.194058324833008975000000000000000000,74539137.0130817565397625,14,True,https://curve.fi/,1750493949358
btcturk,BTCTurk,30,0.171788291297589700000000000000000000,65985063.9919372305103218,143,False,https://www.btcturk.com/,1750494023798
Curve-1,CURVE (ethereum),31,0.146938203479828586000000000000000000,56439974.3791666688380152,43,True,https://curve.fi/,1750493938062
coincheck,coincheck,32,0.139832685589381714000000000000000000,53710696.0962551371184679,1,False,coincheck,1750494029719
bitkub,Bitkub,33,0.134235499145487868000000000000000000,51560778.2940264296549255,74,False,https://www.bitkub.com/,1750494037897
Uniswap V3 (Arbitrum),Uniswap V3 (Arbitrum),34,0.112990772921953400000000000000000000,43400532.8619166019510270,23,True,empty_uri,1750494027230
exmo,Exmo,35,0.102646451142425519000000000000000000,39427207.7335298445284426,135,False,https://www.exmo.com/,1750493990104
bitso,Bitso,36,0.070668581064721234000000000000000000,27144287.9404229813525863,39,True,https://www.bitso.com/,1750494001151
bitbank,Bitbank,37,0.062312502946889356000000000000000000,23934660.8746783729806049,4,False,https://www.bibank.com,1750494023458
independentreserve,Independent Reserve,38,0.044377111085195687000000000000000000,17045553.5276345653835138,108,False,https://www.independentreserve.com/,1750494038101
itbit,Itbit,39,0.042388128582762679000000000000000000,16281571.6711846848000000,5,False,https://www.itbit.com/,1750494037736
Aerodrome (Base),Aerodrome (Base),40,0.040594789184976469000000000000000000,15592737.6765721222141643,7,True,empty_uri,1750493707715
indodax,Indodax,41,0.038738459874436644000000000000000000,14879708.8233198998807013,168,False,https://indodax.com/,1750493993961
kickex,KickEX,42,0.032310867374802374000000000000000000,12410826.3447827037612000,34,False,https://kickex.com,1750494037848
max-exchange,Max,43,0.026266570309347970000000000000000000,10089170.2782502863266955,26,False,https://max.maicoin.com/,1750494021332
luno,Luno,44,0.026053167138679932000000000000000000,10007200.6529268730558130,26,True,https://www.luno.com/,1750494036797
Uniswap V2,Uniswap V2,45,0.024379458833358949000000000000000000,9364317.7835750465443644,28,True,empty_uri,1750493665838
binanceus,Binance.US,46,0.022569523658590170000000000000000000,8669109.2369023917332000,75,False,https://www.binance.us/,1750494012132
Uniswap V3 (Base),Uniswap V3 (Base),47,0.020575744962679775000000000000000000,7903285.1295567567603359,9,True,empty_uri,1750493999936
Uniswap V2 (Base),Uniswap V2 (Base),48,0.012217290041006159000000000000000000,4692745.1171124125162902,5,True,empty_uri,1750493705778
Pancakeswap V3 (Base),Pancakeswap V3 (Base),49,0.011640180801078536000000000000000000,4471073.4895566365819597,2,True,empty_uri,1750493997826
Sushiswap V3 (Arbitrum),Sushiswap V3 (Arbitrum),50,0.010197304976067057000000000000000000,3916854.9632143963076127,2,True,empty_uri,1750494015203
Uniswap V3 (Optimism),Uniswap V3 (Optimism),51,0.0085528509284182228632000000000000000000,3285208.8554017448853299,14,True,empty_uri,1750493994462
btcmarket,BTCMarket,52,0.0074421666950646651565000000000000000000,2858587.4037353324213626,6,False,https://www.btcmarkets.net/,1750494037288
Uniswap V3 (Avalanche),Uniswap V3 (Avalanche),53,0.0064690758609773841723000000000000000000,2484816.5228899874609020,4,True,empty_uri,1750494029089
Sushiswap V3 (Base),Sushiswap V3 (Base),54,0.0045944738615097146791000000000000000000,1764769.0041681851187538,1,True,empty_uri,1750493998249
Curve-42161,CURVE (arbitrum),55,0.0021380977573328540175000000000000000000,821258.0512500000099796,10,True,https://curve.fi/,1750493938366
paribu,Paribu,56,0.0018583106527600454241000000000000000000,713789.9004237356400000,14,False,https://www.paribu.com/,1750494037083
coinmate,Coinmate,57,0.0016529756777242109988000000000000000000,634919.3245237093845122,2,True,https://coinmate.io/,1750494012649
btcbox,BTCBOX,58,0.0011031539910560958423000000000000000000,423729.0338181432836469,1,False,https://www.btcbox.co.jp,1750494009661
Curve-10,CURVE (optimism),59,0.0008207944566407204044000000000000000000,315272.7950000000175418,8,True,https://curve.fi/,1750493938655
gopax,GOPAX,60,0.0005993694799877432473000000000000000000,230221.9388357132081745,34,False,https://www.gopax.co.kr/,1750494031436
Uniswap V3 (Unichain),Uniswap V3 (Unichain),61,0.0003657567250869827104000000000000000000,140489.6732370291051099,1,True,empty_uri,1750493982771
SushiSwap (Arbitrum),SushiSwap (Arbitrum),62,0.0003636916039172791173000000000000000000,139696.4459949120064484,3,True,empty_uri,1750493237737
Curve-8453,CURVE (base),63,0.0002577952458582012410000000000000000000,99020.9266666666608995,3,True,https://curve.fi/,1750493937232
cex,Cex,64,0.0002563189407511300253000000000000000000,98453.8677232083607600,62,False,https://www.cex.io/,1750494032720
Shibaswap,Shibaswap,65,0.0001920890742258171564000000000000000000,73782.7343132806638596,6,True,empty_uri,1750493174872
Curve-137,CURVE (polygon),66,0.0001279642368797435112000000000000000000,49151.9433333333392800,4,True,https://curve.fi/,1750493937413
